Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total
statistical modeling,0,0,0,0,0,1,0,1,0,0,1,0,0,3
version control,0,0,0,0,0,0,1,1,0,0,0,1,0,3
stored procedure,0,0,1,0,0,0,1,1,0,0,0,0,0,3
functional testing,0,0,0,0,0,0,1,1,0,1,0,0,0,3
dataspaces,0,0,0,0,0,0,1,1,0,0,1,0,0,3
database management systems,0,0,0,1,0,0,1,1,0,0,0,0,0,3
goal setting,0,0,0,0,0,0,0,1,1,0,1,0,0,3
calculations,0,0,1,0,0,0,1,1,0,0,0,0,0,3
quality monitoring,0,0,0,0,0,0,1,1,0,0,1,0,0,3
virtual event,0,0,0,1,0,0,0,1,0,0,1,0,0,3
event planning,0,0,0,0,0,0,0,1,0,1,1,0,0,3
speech recognition,0,0,0,0,0,0,1,1,0,0,1,0,0,3
solutions focused,0,0,0,0,0,0,1,1,0,0,1,0,0,3
data acquisition,0,0,0,1,0,0,1,0,0,0,0,1,0,3
mock ups,0,0,0,1,0,0,1,0,0,0,1,0,0,3
release builds,0,0,0,0,0,0,1,0,0,1,1,0,0,3
build tools,0,0,0,1,0,0,0,0,0,0,1,1,0,3
business education,2,1,0,0,0,0,0,0,0,0,0,0,0,3
application lifecycle management,0,1,0,0,0,2,0,0,0,0,0,0,0,3
maintenance testing,0,1,0,0,0,0,0,2,0,0,0,0,0,3
disaster recovery plan,0,1,0,0,0,0,2,0,0,0,0,0,0,3
statistical methods,0,1,0,0,0,0,2,0,0,0,0,0,0,3
storage systems,0,1,0,0,0,0,2,0,0,0,0,0,0,3
cloud formation,0,1,0,0,0,0,0,0,0,0,2,0,0,3
macros,0,1,0,0,1,0,0,1,0,0,0,0,0,3
advocacy,0,1,0,0,1,0,0,1,0,0,0,0,0,3
communications training,0,1,0,0,1,1,0,0,0,0,0,0,0,3
new business development,0,1,0,0,1,0,1,0,0,0,0,0,0,3
sales operations,0,1,0,0,1,0,0,1,0,0,0,0,0,3
project stakeholders,0,1,0,0,1,0,1,0,0,0,0,0,0,3
program standards,0,1,1,0,0,1,0,0,0,0,0,0,0,3
it service management,0,1,0,0,0,1,0,0,0,0,1,0,0,3
consolidation,0,1,0,0,0,1,0,0,0,0,1,0,0,3
sales administration,0,1,0,0,0,1,1,0,0,0,0,0,0,3
informatica,0,1,0,1,0,0,0,1,0,0,0,0,0,3
manifests,0,1,0,0,0,0,0,1,0,0,1,0,0,3
contingency plan,0,1,0,0,0,0,1,1,0,0,0,0,0,3
systems implementations,0,1,0,0,0,0,1,1,0,0,0,0,0,3
team processes,0,1,0,0,0,0,1,0,0,0,1,0,0,3
toolkits,0,1,0,0,0,0,1,0,0,0,1,0,0,3
progress reporting,0,1,0,0,0,0,0,0,0,1,1,0,0,3
business process improvement,0,1,0,1,0,0,0,0,0,1,0,0,0,3
licensed practical nurse,0,2,0,0,0,0,0,1,0,0,0,0,0,3
focus group,0,2,0,0,0,0,0,0,0,0,1,0,0,3
proposal development,0,2,0,0,1,0,0,0,0,0,0,0,0,3
strategic alignment,0,2,0,0,0,0,1,0,0,0,0,0,0,3
health research,0,2,0,0,0,0,0,0,0,0,1,0,0,3
outcomes research,0,2,0,0,0,0,0,1,0,0,0,0,0,3
mail order,0,2,0,0,1,0,0,0,0,0,0,0,0,3
ingenuity,0,2,0,0,0,0,0,1,0,0,0,0,0,3
clinical monitoring,0,2,0,0,0,0,0,1,0,0,0,0,0,3
pharmaceutical sales,0,2,0,0,1,0,0,0,0,0,0,0,0,3
microsoft powerpoint,0,2,0,0,0,0,0,1,0,0,0,0,0,3
business information system,0,3,0,0,0,0,0,0,0,0,0,0,0,3
finger dexterity,0,3,0,0,0,0,0,0,0,0,0,0,0,3
user guide,2,0,0,0,0,0,0,0,0,0,0,0,0,2
limiter,0,0,0,0,2,0,0,0,0,0,0,0,0,2
specialty pharmaceuticals,0,0,0,0,2,0,0,0,0,0,0,0,0,2
neurology,0,0,0,0,2,0,0,0,0,0,0,0,0,2
cisco nexus switches,0,0,0,0,2,0,0,0,0,0,0,0,0,2
mpls vpn,0,0,0,0,2,0,0,0,0,0,0,0,0,2
metro ethernet,0,0,0,0,2,0,0,0,0,0,0,0,0,2
global sourcing,0,0,0,0,2,0,0,0,0,0,0,0,0,2
plumbing,0,0,0,0,2,0,0,0,0,0,0,0,0,2
production equipment,0,0,0,0,2,0,0,0,0,0,0,0,0,2
pneumatics,0,0,0,0,2,0,0,0,0,0,0,0,0,2
f#,0,0,0,0,2,0,0,0,0,0,0,0,0,2
health information technology,0,0,0,0,2,0,0,0,0,0,0,0,0,2
facilities engineering,0,0,0,0,0,2,0,0,0,0,0,0,0,2
safety culture,0,0,0,0,0,2,0,0,0,0,0,0,0,2
windows servers,0,0,0,0,0,2,0,0,0,0,0,0,0,2
hp application lifecycle management,0,0,0,0,0,2,0,0,0,0,0,0,0,2
professional engineer,0,0,0,0,0,2,0,0,0,0,0,0,0,2
cooking,0,0,0,0,0,2,0,0,0,0,0,0,0,2
liquefied natural gas,0,0,0,0,0,2,0,0,0,0,0,0,0,2
safety management systems,0,0,0,0,0,2,0,0,0,0,0,0,0,2
cloud-native architecture,0,0,0,0,0,2,0,0,0,0,0,0,0,2
datadog,0,0,0,0,0,2,0,0,0,0,0,0,0,2
tax compliance,0,0,0,0,0,2,0,0,0,0,0,0,0,2
environmental reporting,0,0,0,0,0,2,0,0,0,0,0,0,0,2
powerpivot,0,0,0,0,0,2,0,0,0,0,0,0,0,2
powerquery,0,0,0,0,0,2,0,0,0,0,0,0,0,2
usergroups,0,0,0,0,0,2,0,0,0,0,0,0,0,2
additives,0,0,0,0,0,2,0,0,0,0,0,0,0,2
architecture analysis,0,0,0,0,0,2,0,0,0,0,0,0,0,2
creational patterns,0,0,0,0,0,2,0,0,0,0,0,0,0,2
desktop virtualization,0,0,0,0,0,2,0,0,0,0,0,0,0,2
hypervisor,0,0,0,0,0,2,0,0,0,0,0,0,0,2
service provisioning,0,0,0,0,0,2,0,0,0,0,0,0,0,2
vm,0,0,0,0,0,2,0,0,0,0,0,0,0,2
vcenter,0,0,0,0,0,2,0,0,0,0,0,0,0,2
virtual desktops,0,0,0,0,0,2,0,0,0,0,0,0,0,2
birth certificates,0,0,0,0,0,2,0,0,0,0,0,0,0,2
attachmate extra,0,0,0,0,0,2,0,0,0,0,0,0,0,2
endevor,0,0,0,0,0,2,0,0,0,0,0,0,0,2
mvs,0,0,0,0,0,2,0,0,0,0,0,0,0,2
rexx,0,0,0,0,0,2,0,0,0,0,0,0,0,2
terminal emulators,0,0,0,0,0,2,0,0,0,0,0,0,0,2
jaws scripting language,0,0,0,0,0,0,0,2,0,0,0,0,0,2
jenkins 2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
organizational learning,0,0,0,0,0,0,0,2,0,0,0,0,0,2
release management,0,0,0,0,0,0,0,2,0,0,0,0,0,2
data mapping,0,0,0,0,0,0,0,2,0,0,0,0,0,2
hibernate,0,0,0,0,0,0,0,2,0,0,0,0,0,2
hibernate3,0,0,0,0,0,0,0,2,0,0,0,0,0,2
nhibernate,0,0,0,0,0,0,0,2,0,0,0,0,0,2
framework design,0,0,0,0,0,0,0,2,0,0,0,0,0,2
licensed social worker,0,0,0,0,0,0,0,2,0,0,0,0,0,2
talend,0,0,0,0,0,0,0,2,0,0,0,0,0,2
licensed vocational nurses,0,0,0,0,0,0,0,2,0,0,0,0,0,2
dermatology,0,0,0,0,0,0,0,2,0,0,0,0,0,2
family medicine,0,0,0,0,0,0,0,2,0,0,0,0,0,2
medical license,0,0,0,0,0,0,0,2,0,0,0,0,0,2
osteopathy,0,0,0,0,0,0,0,2,0,0,0,0,0,2
podiatry,0,0,0,0,0,0,0,2,0,0,0,0,0,2
clinical supervision,0,0,0,0,0,0,0,2,0,0,0,0,0,2
risc os,0,0,0,0,0,0,0,2,0,0,0,0,0,2
electronic paper,0,0,0,0,0,0,0,2,0,0,0,0,0,2
growth strategies,0,0,0,0,0,0,0,2,0,0,0,0,0,2
software maintenance,0,0,0,0,0,0,0,2,0,0,0,0,0,2
web trends,0,0,0,0,0,0,0,2,0,0,0,0,0,2
chiropractics,0,0,0,0,0,0,0,2,0,0,0,0,0,2
health education,0,0,0,0,0,0,0,2,0,0,0,0,0,2
health fairs,0,0,0,0,0,0,0,2,0,0,0,0,0,2
pain management,0,0,0,0,0,0,0,2,0,0,0,0,0,2
physical therapy,0,0,0,0,0,0,0,2,0,0,0,0,0,2
resolving customer problems,0,0,0,0,0,0,0,2,0,0,0,0,0,2
office assistant,0,0,0,0,0,0,0,2,0,0,0,0,0,2
investment banking,0,0,0,0,0,0,0,2,0,0,0,0,0,2
malpractice,0,0,0,0,0,0,0,2,0,0,0,0,0,2
vital signs,0,0,0,0,0,0,0,2,0,0,0,0,0,2
coder certification,0,0,0,0,0,0,0,2,0,0,0,0,0,2
medical office procedures,0,0,0,0,0,0,0,2,0,0,0,0,0,2
medical procedure,0,0,0,0,0,0,0,2,0,0,0,0,0,2
12factor,0,0,0,0,0,0,2,0,0,0,0,0,0,2
apache pulsar,0,0,0,0,0,0,2,0,0,0,0,0,0,2
arping,0,0,0,0,0,0,2,0,0,0,0,0,0,2
automotive engineering,0,0,0,0,0,0,2,0,0,0,0,0,0,2
battery pack,0,0,0,0,0,0,2,0,0,0,0,0,0,2
battery technology,0,0,0,0,0,0,2,0,0,0,0,0,0,2
browser compatibility,0,0,0,0,0,0,2,0,0,0,0,0,0,2
buildout,0,0,0,0,0,0,2,0,0,0,0,0,0,2
calipers,0,0,0,0,0,0,2,0,0,0,0,0,0,2
class design,0,0,0,0,0,0,2,0,0,0,0,0,0,2
common controls,0,0,0,0,0,0,2,0,0,0,0,0,0,2
component design,0,0,0,0,0,0,2,0,0,0,0,0,0,2
continuous availability,0,0,0,0,0,0,2,0,0,0,0,0,0,2
control networks,0,0,0,0,0,0,2,0,0,0,0,0,0,2
customer retention,0,0,0,0,0,0,2,0,0,0,0,0,0,2
data validation,0,0,0,0,0,0,2,0,0,0,0,0,0,2
design studio,0,0,0,0,0,0,2,0,0,0,0,0,0,2
diagnostic tools,0,0,0,0,0,0,2,0,0,0,0,0,0,2
displacement,0,0,0,0,0,0,2,0,0,0,0,0,0,2
document control,0,0,0,0,0,0,2,0,0,0,0,0,0,2
dynamo,0,0,0,0,0,0,2,0,0,0,0,0,0,2
dynamometer,0,0,0,0,0,0,2,0,0,0,0,0,0,2
electric machines,0,0,0,0,0,0,2,0,0,0,0,0,0,2
electrochemistry,0,0,0,0,0,0,2,0,0,0,0,0,0,2
embedded systems,0,0,0,0,0,0,2,0,0,0,0,0,0,2
etching,0,0,0,0,0,0,2,0,0,0,0,0,0,2
experiential learning,0,0,0,0,0,0,2,0,0,0,0,0,0,2
flange,0,0,0,0,0,0,2,0,0,0,0,0,0,2
flash,0,0,0,0,0,0,2,0,0,0,0,0,0,2
fluid mechanics,0,0,0,0,0,0,2,0,0,0,0,0,0,2
framing,0,0,0,0,0,0,2,0,0,0,0,0,0,2
geos,0,0,0,0,0,0,2,0,0,0,0,0,0,2
groovy,0,0,0,0,0,0,2,0,0,0,0,0,0,2
hardware design,0,0,0,0,0,0,2,0,0,0,0,0,0,2
heat exchanger,0,0,0,0,0,0,2,0,0,0,0,0,0,2
heat transfer,0,0,0,0,0,0,2,0,0,0,0,0,0,2
hydraulics,0,0,0,0,0,0,2,0,0,0,0,0,0,2
igraph,0,0,0,0,0,0,2,0,0,0,0,0,0,2
image processing,0,0,0,0,0,0,2,0,0,0,0,0,0,2
interface control document,0,0,0,0,0,0,2,0,0,0,0,0,0,2
jasmine,0,0,0,0,0,0,2,0,0,0,0,0,0,2
knime,0,0,0,0,0,0,2,0,0,0,0,0,0,2
labor relations,0,0,0,0,0,0,2,0,0,0,0,0,0,2
lamp,0,0,0,0,0,0,2,0,0,0,0,0,0,2
lathes,0,0,0,0,0,0,2,0,0,0,0,0,0,2
machine vision,0,0,0,0,0,0,2,0,0,0,0,0,0,2
machining,0,0,0,0,0,0,2,0,0,0,0,0,0,2
materials engineering,0,0,0,0,0,0,2,0,0,0,0,0,0,2
materials science,0,0,0,0,0,0,2,0,0,0,0,0,0,2
micrometer,0,0,0,0,0,0,2,0,0,0,0,0,0,2
mono,0,0,0,0,0,0,2,0,0,0,0,0,0,2
mule,0,0,0,0,0,0,2,0,0,0,0,0,0,2
new ventures,0,0,0,0,0,0,2,0,0,0,0,0,0,2
objectstore,0,0,0,0,0,0,2,0,0,0,0,0,0,2
onekey,0,0,0,0,0,0,2,0,0,0,0,0,0,2
order management systems,0,0,0,0,0,0,2,0,0,0,0,0,0,2
proactivity,0,0,0,0,0,0,2,0,0,0,0,0,0,2
productivity improvement,0,0,0,0,0,0,2,0,0,0,0,0,0,2
project management software,0,0,0,0,0,0,2,0,0,0,0,0,0,2
project method,0,0,0,0,0,0,2,0,0,0,0,0,0,2
pyunit,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ransac,0,0,0,0,0,0,2,0,0,0,0,0,0,2
safety training,0,0,0,0,0,0,2,0,0,0,0,0,0,2
scaled agile framework,0,0,0,0,0,0,2,0,0,0,0,0,0,2
scope management,0,0,0,0,0,0,2,0,0,0,0,0,0,2
seal,0,0,0,0,0,0,2,0,0,0,0,0,0,2
self-motivation,0,0,0,0,0,0,2,0,0,0,0,0,0,2
sequent,0,0,0,0,0,0,2,0,0,0,0,0,0,2
service object,0,0,0,0,0,0,2,0,0,0,0,0,0,2
sheet metal,0,0,0,0,0,0,2,0,0,0,0,0,0,2
shell script,0,0,0,0,0,0,2,0,0,0,0,0,0,2
siemens nx,0,0,0,0,0,0,2,0,0,0,0,0,0,2
sign tests,0,0,0,0,0,0,2,0,0,0,0,0,0,2
software development methodologies,0,0,0,0,0,0,2,0,0,0,0,0,0,2
software features,0,0,0,0,0,0,2,0,0,0,0,0,0,2
software project management,0,0,0,0,0,0,2,0,0,0,0,0,0,2
soldering,0,0,0,0,0,0,2,0,0,0,0,0,0,2
stakeholder requirements,0,0,0,0,0,0,2,0,0,0,0,0,0,2
steady state,0,0,0,0,0,0,2,0,0,0,0,0,0,2
synchro,0,0,0,0,0,0,2,0,0,0,0,0,0,2
test planning,0,0,0,0,0,0,2,0,0,0,0,0,0,2
thinning,0,0,0,0,0,0,2,0,0,0,0,0,0,2
torque,0,0,0,0,0,0,2,0,0,0,0,0,0,2
type approval,0,0,0,0,0,0,2,0,0,0,0,0,0,2
validation controls,0,0,0,0,0,0,2,0,0,0,0,0,0,2
vehicle dynamics,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ventilation,0,0,0,0,0,0,2,0,0,0,0,0,0,2
data presentation,0,0,2,0,0,0,0,0,0,0,0,0,0,2
database models,0,0,2,0,0,0,0,0,0,0,0,0,0,2
cloud database,0,0,2,0,0,0,0,0,0,0,0,0,0,2
compliance training,0,0,2,0,0,0,0,0,0,0,0,0,0,2
reference data,0,0,2,0,0,0,0,0,0,0,0,0,0,2
equations,0,0,2,0,0,0,0,0,0,0,0,0,0,2
factor analysis,0,0,2,0,0,0,0,0,0,0,0,0,0,2
frequency distribution,0,0,2,0,0,0,0,0,0,0,0,0,0,2
permutation,0,0,2,0,0,0,0,0,0,0,0,0,0,2
quadratic equations,0,0,2,0,0,0,0,0,0,0,0,0,0,2
success driven,0,0,2,0,0,0,0,0,0,0,0,0,0,2
target acquisition,0,0,2,0,0,0,0,0,0,0,0,0,0,2
auditing standards,0,0,2,0,0,0,0,0,0,0,0,0,0,2
network forensics,0,0,2,0,0,0,0,0,0,0,0,0,0,2
risk management information systems,0,0,2,0,0,0,0,0,0,0,0,0,0,2
liens,0,0,2,0,0,0,0,0,0,0,0,0,0,2
structured settlement,0,0,2,0,0,0,0,0,0,0,0,0,0,2
subsidies,0,0,2,0,0,0,0,0,0,0,0,0,0,2
insurance products,0,0,2,0,0,0,0,0,0,0,0,0,0,2
information access,0,0,0,0,0,0,0,0,2,0,0,0,0,2
log analysis,0,0,0,2,0,0,0,0,0,0,0,0,0,2
soasta cloudtest,0,0,0,2,0,0,0,0,0,0,0,0,0,2
mapreduce,0,0,0,2,0,0,0,0,0,0,0,0,0,2
techskills,0,0,0,2,0,0,0,0,0,0,0,0,0,2
g suite,0,0,0,0,0,0,0,0,0,2,0,0,0,2
product planning,0,0,0,0,0,0,0,0,0,2,0,0,0,2
virtual application,0,0,0,0,0,0,0,0,0,2,0,0,0,2
network security policy,0,0,0,0,0,0,0,0,0,2,0,0,0,2
windows controls,0,0,0,0,0,0,0,0,0,2,0,0,0,2
ipv4,0,0,0,0,0,0,0,0,0,2,0,0,0,2
interconnection,0,0,0,0,0,0,0,0,0,2,0,0,0,2
network virtualization,0,0,0,0,0,0,0,0,0,2,0,0,0,2
software defined networking,0,0,0,0,0,0,0,0,0,2,0,0,0,2
vxlan,0,0,0,0,0,0,0,0,0,2,0,0,0,2
lex,0,0,0,0,0,0,0,0,0,0,2,0,0,2
transcriber,0,0,0,0,0,0,0,0,0,0,2,0,0,2
white paper,0,0,0,0,0,0,0,0,0,0,2,0,0,2
stakeholder communications,0,0,0,0,0,0,0,0,0,0,2,0,0,2
technology cad,0,0,0,0,0,0,0,0,0,0,2,0,0,2
software engineering process,0,0,0,0,0,0,0,0,0,0,2,0,0,2
self-sufficiency,0,0,0,0,0,0,0,0,0,0,2,0,0,2
software deployment,0,0,0,0,0,0,0,0,0,0,2,0,0,2
amazon s3,0,0,0,0,0,0,0,0,0,0,2,0,0,2
core services,0,0,0,0,0,0,0,0,0,0,2,0,0,2
technical supervision,0,0,0,0,0,0,0,0,0,0,2,0,0,2
environmental engineering,0,0,0,0,0,0,0,0,0,0,2,0,0,2
firefox,0,0,0,0,0,0,0,0,0,0,2,0,0,2
package delivery,0,0,0,0,0,0,0,0,0,0,2,0,0,2
style guides,0,0,0,0,0,0,0,0,0,0,2,0,0,2
organizational effectiveness,0,0,0,0,0,0,0,0,0,0,2,0,0,2
intellectual curiosity,0,0,0,0,0,0,0,0,0,0,2,0,0,2
secure environment,0,0,0,0,0,0,0,0,0,0,2,0,0,2
compliance requirements,0,0,0,0,0,0,0,0,0,0,2,0,0,2
oauth,0,0,0,0,0,0,0,0,0,0,2,0,0,2
threat modeling,0,0,0,0,0,0,0,0,0,0,2,0,0,2
article,0,0,0,0,0,0,0,0,0,0,0,0,2,2
door security,0,0,0,0,0,0,0,0,0,0,0,0,2,2
electronic article surveillance,0,0,0,0,0,0,0,0,0,0,0,0,2,2
promotional merchandise,0,0,0,0,0,0,0,0,0,0,0,0,2,2
glaucoma,0,0,0,0,0,0,0,0,0,0,0,2,0,2
macular degeneration,0,0,0,0,0,0,0,0,0,0,0,2,0,2
tomography,0,0,0,0,0,0,0,0,0,0,0,2,0,2
fresh product,0,0,0,0,0,0,0,0,0,0,0,2,0,2
grinding,0,0,0,0,0,0,0,0,0,0,0,2,0,2
meat products,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ammunitions,0,0,0,0,0,0,0,0,0,0,0,2,0,2
primary health care,0,0,0,0,0,0,0,0,0,0,0,2,0,2
visual perception,0,0,0,0,0,0,0,0,0,0,0,2,0,2
computerized maintenance management systems,0,0,0,0,0,0,0,0,0,0,0,2,0,2
boost,1,0,0,0,0,0,1,0,0,0,0,0,0,2
service set,1,0,0,0,0,0,0,0,0,0,1,0,0,2
aftersales,1,0,0,0,0,0,1,0,0,0,0,0,0,2
customer relationship building,1,0,0,0,1,0,0,0,0,0,0,0,0,2
managed accounts,1,0,0,0,0,1,0,0,0,0,0,0,0,2
sales excellence,1,0,0,0,0,1,0,0,0,0,0,0,0,2
contact manager,1,0,0,0,1,0,0,0,0,0,0,0,0,2
well services,1,0,0,0,1,0,0,0,0,0,0,0,0,2
information sharing,1,0,0,0,0,0,0,0,0,0,1,0,0,2
learning styles,1,0,0,0,0,0,0,0,0,0,1,0,0,2
program scope,0,0,0,0,1,0,1,0,0,0,0,0,0,2
visionary,0,0,0,0,1,0,0,0,0,0,1,0,0,2
desksite,0,0,0,0,1,0,0,1,0,0,0,0,0,2
service desk,0,0,0,0,1,0,0,0,0,1,0,0,0,2
actuarial science,0,0,0,0,1,0,0,1,0,0,0,0,0,2
benefits administration,0,0,1,0,1,0,0,0,0,0,0,0,0,2
medical prescription,0,0,0,0,1,0,0,1,0,0,0,0,0,2
oils,0,0,0,0,1,1,0,0,0,0,0,0,0,2
cognitive psychology,0,0,0,0,1,0,0,0,0,0,1,0,0,2
interaction design,0,0,0,0,1,0,0,1,0,0,0,0,0,2
environment management,0,0,0,0,1,1,0,0,0,0,0,0,0,2
laser scanning,0,0,0,0,1,0,1,0,0,0,0,0,0,2
subcontracting,0,0,0,0,1,1,0,0,0,0,0,0,0,2
portfolio management,0,0,0,0,1,0,0,0,0,0,1,0,0,2
strategic partnership,0,0,0,1,1,0,0,0,0,0,0,0,0,2
cancer,0,0,0,0,1,0,0,1,0,0,0,0,0,2
data manipulation,0,0,0,0,1,0,0,1,0,0,0,0,0,2
visual basic,0,0,0,0,1,1,0,0,0,0,0,0,0,2
purchasing management,0,0,0,0,1,0,1,0,0,0,0,0,0,2
marketing management,0,0,0,0,1,0,0,0,0,0,1,0,0,2
market intelligence,0,0,0,0,1,1,0,0,0,0,0,0,0,2
sales effectiveness,0,0,0,0,1,1,0,0,0,0,0,0,0,2
fact-finding,0,0,0,0,1,0,0,1,0,0,0,0,0,2
power distribution,0,0,0,0,1,0,0,0,0,0,1,0,0,2
togaf,0,0,0,0,1,1,0,0,0,0,0,0,0,2
upselling,0,0,0,0,1,0,0,0,0,0,0,0,1,2
six sigma certification,0,0,0,0,1,0,1,0,0,0,0,0,0,2
project management process,0,0,0,0,1,0,0,1,0,0,0,0,0,2
peripheral iv,0,0,0,0,1,0,0,1,0,0,0,0,0,2
toolchain,0,0,0,0,0,1,1,0,0,0,0,0,0,2
empowerment,0,0,0,0,0,1,0,1,0,0,0,0,0,2
sprint retrospectives,0,0,0,0,0,1,1,0,0,0,0,0,0,2
engineering statistics,0,0,0,0,0,1,0,0,0,0,1,0,0,2
pandas,0,0,0,0,0,1,0,0,0,0,1,0,0,2
sales management,0,0,0,0,0,1,0,0,0,0,0,0,1,2
user feedback,0,0,0,0,0,1,1,0,0,0,0,0,0,2
microsoft skills,0,0,0,0,0,1,0,1,0,0,0,0,0,2
bidding,0,0,0,0,0,1,0,0,0,0,1,0,0,2
emergency departments,0,0,0,0,0,1,0,1,0,0,0,0,0,2
operational reporting,0,0,0,0,0,1,0,0,0,0,1,0,0,2
pumps,0,0,0,0,0,1,1,0,0,0,0,0,0,2
engineering research,0,0,0,0,0,1,0,1,0,0,0,0,0,2
corporate finance,0,0,0,0,0,1,0,0,0,0,0,1,0,2
treasury,0,0,0,1,0,1,0,0,0,0,0,0,0,2
failover,0,0,0,0,0,1,1,0,0,0,0,0,0,2
failover clustering,0,0,0,0,0,1,1,0,0,0,0,0,0,2
systems thinking,0,0,0,0,0,1,1,0,0,0,0,0,0,2
utilization management,0,0,1,0,0,1,0,0,0,0,0,0,0,2
server administration,0,0,0,0,0,1,1,0,0,0,0,0,0,2
query optimization,0,0,0,1,0,1,0,0,0,0,0,0,0,2
cataloguing,0,0,0,0,0,1,0,0,0,0,1,0,0,2
design methods,0,0,0,0,0,1,1,0,0,0,0,0,0,2
failure analysis,0,0,0,0,0,1,0,0,0,0,0,1,0,2
fatigue,0,0,0,0,0,1,1,0,0,0,0,0,0,2
analytical techniques,0,0,0,0,0,1,0,1,0,0,0,0,0,2
x terminals,0,0,0,0,0,1,1,0,0,0,0,0,0,2
supply chain optimization,0,0,0,0,0,1,0,0,0,0,1,0,0,2
rabbitmq,0,0,0,0,0,1,1,0,0,0,0,0,0,2
network storage,0,0,0,0,0,1,0,0,0,1,0,0,0,2
aws lambda,0,0,0,0,0,1,0,0,0,0,1,0,0,2
design flow,0,0,0,0,0,1,1,0,0,0,0,0,0,2
api management,0,0,0,0,0,1,1,0,0,0,0,0,0,2
usability testing,0,0,0,0,0,1,1,0,0,0,0,0,0,2
qualitative analysis,0,0,0,0,0,1,0,0,0,0,1,0,0,2
continuous training,0,0,0,0,0,1,0,0,0,0,0,0,1,2
network automation,0,0,0,0,0,1,1,0,0,0,0,0,0,2
kpi reporting,0,0,0,0,0,1,0,0,0,0,1,0,0,2
quality procedures,0,0,0,0,0,1,0,1,0,0,0,0,0,2
database servers,0,0,0,0,0,0,1,1,0,0,0,0,0,2
oracle applications,0,0,0,1,0,0,0,1,0,0,0,0,0,2
access project,0,0,0,0,0,0,0,1,0,0,1,0,0,2
asp.net,0,0,0,1,0,0,0,1,0,0,0,0,0,2
oracledb,0,0,0,1,0,0,0,1,0,0,0,0,0,2
unix shell,0,0,0,1,0,0,0,1,0,0,0,0,0,2
network monitoring,0,0,0,1,0,0,0,1,0,0,0,0,0,2
ado.net,0,0,0,1,0,0,0,1,0,0,0,0,0,2
business logic,0,0,0,0,0,0,0,1,0,0,1,0,0,2
airflow,0,0,0,0,0,0,0,1,0,0,0,1,0,2
organizational leadership,0,0,0,0,0,0,0,1,0,0,1,0,0,2
indexing,0,0,0,1,0,0,0,1,0,0,0,0,0,2
brand awareness,0,0,0,0,0,0,0,1,0,0,1,0,0,2
communications systems,0,0,0,0,0,0,0,1,0,0,1,0,0,2
articulate storyline,0,0,0,0,0,0,0,1,0,0,1,0,0,2
blended learning,0,0,0,0,0,0,0,1,0,0,1,0,0,2
learning management systems,0,0,0,0,0,0,0,1,0,0,1,0,0,2
computing platforms,0,0,0,0,0,0,0,1,0,0,1,0,0,2
adobe creative suite,0,0,0,0,0,0,1,1,0,0,0,0,0,2
invision,0,0,0,0,0,0,0,1,0,0,1,0,0,2
multivariate testing,0,0,0,0,0,0,0,1,0,0,0,1,0,2
ux research,0,0,0,0,0,0,0,1,0,0,1,0,0,2
gradle,0,0,0,0,0,0,0,1,0,0,0,1,0,2
mongodb,0,0,0,1,0,0,0,1,0,0,0,0,0,2
outsourcing,0,0,0,0,0,0,0,1,0,0,1,0,0,2
draft,0,0,0,0,0,0,0,1,0,1,0,0,0,2
quality driven,0,0,0,0,0,0,0,1,0,0,1,0,0,2
performance measurement,0,0,0,0,0,0,0,1,0,0,1,0,0,2
cardiopulmonary resuscitation,0,0,0,0,0,0,0,1,0,0,0,1,0,2
vascular access,0,0,0,0,0,0,0,1,0,0,0,0,1,2
project documentation,0,0,0,0,0,0,1,1,0,0,0,0,0,2
google applications,0,0,0,0,0,0,0,1,0,1,0,0,0,2
predictive analytics,0,0,0,0,0,0,0,1,0,0,1,0,0,2
raw data,0,0,0,0,0,0,0,1,0,0,0,1,0,2
management consulting,0,0,0,0,0,0,0,1,0,0,1,0,0,2
animations,0,0,0,0,0,0,1,0,0,0,1,0,0,2
application layers,0,0,0,0,0,0,1,0,0,0,1,0,0,2
autocad,0,0,0,0,0,0,1,0,0,0,1,0,0,2
automation controls,0,0,0,0,0,0,1,0,0,0,1,0,0,2
automotive services,0,0,0,0,0,0,1,0,0,0,0,1,0,2
build pipeline,0,0,0,0,0,0,1,0,0,1,0,0,0,2
business process management,0,0,0,0,0,0,1,0,0,1,0,0,0,2
cloud engineering,0,0,0,0,0,0,1,0,0,0,1,0,0,2
creative problem-solving,0,0,0,0,0,0,1,0,0,0,1,0,0,2
data class,0,0,0,0,0,0,1,0,0,0,0,1,0,2
eclipse,0,0,0,0,0,0,1,0,0,1,0,0,0,2
intellectual property,0,0,0,0,0,0,1,0,0,0,1,0,0,2
jmp,0,0,0,0,0,0,1,0,0,0,1,0,0,2
nist cybersecurity framework,0,0,1,0,0,0,1,0,0,0,0,0,0,2
